area,price,building_status,number_facades,number_bedrooms,kitchen_equipped,furnished,open_fire,zip_code,land_surface,terrace,terrace_surface,swimming_pool,property_type,subtype_property,garden,garden_surface,province,Zone,zone_num,price_per_m2
351.0,599000.0,as new,4.0,4.0,hyper equipped,,,4632,2750.0,1,40,True,house,villa,1,2750,Liege,Wallonia_zone,2,1706.5527065527065
340.0,2000000.0,as new,4.0,4.0,,,,3080,1450.0,0,0,,house,house,0,0,Flemish Brabant,Flanders_zone,3,5882.35294117647
248.0,579000.0,,,3.0,hyper equipped,,,9700,356.0,1,45,,house,mansion,0,0,East Flanders,Flanders_zone,3,2334.6774193548385
220.0,428500.0,good,2.0,3.0,installed,,1.0,1850,270.0,1,33,,house,house,1,80,Flemish Brabant,Flanders_zone,3,1947.7272727272727
270.0,795000.0,good,4.0,2.0,installed,,,8830,60197.0,0,0,,house,manor,0,0,West Flanders,Flanders_zone,3,2944.4444444444443
130.0,275000.0,,2.0,3.0,installed,,,8000,140.0,0,0,,house,house,0,0,West Flanders,Flanders_zone,3,2115.3846153846152
125.0,239000.0,to be done up,3.0,3.0,installed,,,2260,347.0,0,0,,house,house,0,0,Antwerp,Flanders_zone,3,1912.0
120.0,338801.0,,3.0,3.0,,,,9700,347.0,0,0,,house,house,0,0,East Flanders,Flanders_zone,3,2823.3416666666667
335.0,496000.0,to be done up,2.0,4.0,semi equipped,,,9000,305.0,0,0,,house,mixed,0,0,East Flanders,Flanders_zone,3,1480.597014925373
135.0,199000.0,to be done up,3.0,3.0,semi equipped,,,9404,361.0,0,0,,house,house,0,0,East Flanders,Flanders_zone,3,1474.0740740740741
254.0,990000.0,good,4.0,4.0,installed,,,1650,3615.0,0,0,,house,house,0,0,Flemish Brabant,Flanders_zone,3,3897.6377952755906
131.0,320000.0,,,3.0,,,,9000,147.0,1,16,,house,house,0,0,East Flanders,Flanders_zone,3,2442.7480916030536
95.0,40000.0,good,2.0,2.0,installed,,,4100,380.0,0,0,,house,mixed,0,0,Liege,Wallonia_zone,2,421.05263157894734
154.0,259000.0,to be done up,2.0,3.0,semi equipped,,,4432,500.0,0,0,,house,house,1,356,Liege,Wallonia_zone,2,1681.8181818181818
250.0,875000.0,good,4.0,3.0,hyper equipped,,,4861,9203.0,0,0,,house,farmhouse,1,8500,Liege,Wallonia_zone,2,3500.0
461.0,900000.0,as new,2.0,10.0,installed,,,9600,690.0,0,0,,house,apartment,0,0,East Flanders,Flanders_zone,3,1952.2776572668113
116.0,445000.0,just renovated,3.0,3.0,installed,,,9840,569.0,0,0,,house,house,0,0,East Flanders,Flanders_zone,3,3836.206896551724
165.0,585000.0,good,3.0,4.0,hyper equipped,,,1970,309.0,1,30,,house,house,1,100,Flemish Brabant,Flanders_zone,3,3545.4545454545455
